日期,周末,雨量(mm)>2.5,紫外線(指數)>6,PM2.5 >54,捷運運量指數(除以當月平均的十分之一),,日期,周末,雨量(mm)>2.5,紫外線(指數)>6,PM2.5 >54,捷運運量指數(除以當月平均的十分之一),日期,周末,雨量(mm)>2.5,紫外線(指數)>6,PM2.5 >54,捷運運量指數(除以當月平均的十分之一)
2016/01/02,六,0,1,36.375,9.16173634,,2016/01/02,六,0,1,36.375,9.16173634,2016/01/03,日,15,2,25.25,7.475999712
2016/01/03,日,15,2,25.25,7.475999712,,2016/01/09,六,0,4,23.75,10.06127078,2016/01/10,日,0,4,20.70833333,8.130023933
2016/01/09,六,0,4,23.75,10.06127078,,2016/01/16,六,0,4,15.125,8.605705873,2016/01/17,日,33.5,1,9.458333333,7.386781445
2016/01/10,日,0,4,20.70833333,8.130023933,,2016/01/23,六,36.5,0,15.625,9.237233299,2016/01/24,日,6,1,15.83333333,7.846985986
2016/01/16,六,0,4,15.125,8.605705873,,2016/01/30,六,8.9,1,8.041666667,11.16499773,2016/01/31,日,0,5,14.125,9.245850043
2016/01/17,日,33.5,1,9.458333333,7.386781445,,2016/02/06,六,0,1,70.45833333,6.572198443,2016/02/07,日,0,4,60.45833333,4.135715357
2016/01/23,六,36.5,0,15.625,9.237233299,,2016/02/13,六,0,6,22.41666667,9.882211363,2016/02/14,日,6.3,1,10.79166667,8.153600739
2016/01/24,日,6,1,15.83333333,7.846985986,,2016/02/20,六,0.2,1,36.91666667,10.97619042,2016/02/21,日,0,3,27.70833333,9.779493517
2016/01/30,六,8.9,1,8.041666667,11.16499773,,2016/02/27,六,10.5,1,10.66666667,10.0789389,2016/02/28,日,0,6,9.5,11.02179666
2016/01/31,日,0,5,14.125,9.245850043,,2016/03/05,六,0,6,26.41666667,9.960555829,2016/03/06,日,0,5,24.79166667,8.364220378
2016/02/06,六,0,1,70.45833333,6.572198443,,2016/03/12,六,6.5,1,15.45833333,9.692613247,2016/03/13,日,39.7,2,22.29166667,8.430664309
2016/02/07,日,0,4,60.45833333,4.135715357,,2016/03/19,六,23.5,2,28.625,9.259289472,2016/03/20,日,2.2,2,24.5,8.258496806
2016/02/13,六,0,6,22.41666667,9.882211363,,2016/03/26,六,0,6,28.91666667,10.21051588,2016/03/27,日,0.5,5,26.29166667,8.40596214
2016/02/14,日,6.3,1,10.79166667,8.153600739,,2016/04/02,六,0,5,39.29166667,9.184031953,2016/04/03,日,0,4,37.16666667,8.30093315
2016/02/20,六,0.2,1,36.91666667,10.97619042,,2016/04/09,六,0,5,38.70833333,9.964715668,2016/04/10,日,10,3,22.33333333,8.224110551
2016/02/21,日,0,3,27.70833333,9.779493517,,2016/04/16,六,0,4,32.54166667,10.01482238,2016/04/17,日,2.4,3,22.33333333,7.98082394
